,test_acc
MUTAG,0.8421052631578947
BZR,0.7560975609756098
COX2,0.6595744680851063
DHFR,0.6973684210526315
PTC_MR,0.5714285714285714
AIDS,0.985
NCI1,0.781021897810219
IMDB-MULTI,0.47333333333333333
IMDB-BINARY,0.71
Letter-high,0.9107142857142857
Letter-med,0.96
Letter-low,0.9911111111111112
