round,mean_acc,std_acc,round_time,total_time
1,0.5168216093703447,0.22019652739806878,11.38125205039978,11.38125205039978
2,0.5166490107763334,0.19001429433061082,9.401597499847412,21.708237648010254
3,0.5997445023184491,0.1836892961956757,9.236305713653564,31.66283345222473
4,0.6078170146770016,0.21269455639927354,9.186416864395142,41.576138734817505
5,0.670174275809354,0.16448463357308155,10.330140590667725,52.723100423812866
6,0.6421216018960069,0.2197274701177563,10.601751804351807,64.05790591239929
7,0.6921181892222456,0.16805212654122192,9.692400455474854,74.50860834121704
8,0.6841447476303752,0.22311318845880634,9.23159646987915,84.46464657783508
9,0.6771553357593646,0.22649332631088523,9.326235055923462,94.52245664596558
10,0.6428655609116743,0.23177430680857763,9.766677856445312,105.00344014167786
11,0.6929611018219256,0.2062316505504517,9.78343152999878,115.70876598358154
12,0.6459758902586953,0.23753226983696826,9.7658531665802,126.34414982795715
13,0.7017001794683936,0.2159652716447009,10.230679750442505,137.34316086769104
14,0.6698958228964536,0.25107390186561956,9.785315036773682,147.86866521835327
15,0.7183861465044288,0.19048556374306788,9.695934534072876,158.35542917251587
16,0.676937298344663,0.24984830840602484,9.876951217651367,169.0165660381317
17,0.7622681015433841,0.1595109361799116,10.134306907653809,179.9158797264099
18,0.7310447160360131,0.20823143507565803,9.49473237991333,190.15570497512817
19,0.7729307571432514,0.14746087050993067,9.53962516784668,200.45799684524536
20,0.7239652257861491,0.19649594539478124,9.595223426818848,210.81688833236694
21,0.7668092090647175,0.1456588313385693,9.458510875701904,221.03131341934204
22,0.7587845570289827,0.15072182971936335,10.16750979423523,231.95701050758362
23,0.7730402869987819,0.14921418563371672,10.698676586151123,243.58086323738098
24,0.7531680916217489,0.1692629980280464,10.808053255081177,255.20631885528564
25,0.7766862587175192,0.16154217143007127,9.651585102081299,265.60996985435486
26,0.7638070269401499,0.1605200877642781,9.55755352973938,275.96011877059937
27,0.7633312668815789,0.16134379775660343,10.535202980041504,287.2395706176758
28,0.7792952832094567,0.14877041559128287,10.841532707214355,298.93427634239197
29,0.7835670462234611,0.15200224951901214,10.448083877563477,310.1910436153412
30,0.7599748052510017,0.1626649672623303,10.348514080047607,321.39780259132385
31,0.7735541098046393,0.15986743953757315,10.891861915588379,333.19160890579224
32,0.7606271352685088,0.15954206326332704,10.441515922546387,344.5090470314026
33,0.767900054275427,0.1515209390368413,10.197841167449951,355.4974012374878
34,0.7657156888080903,0.1724821402805486,9.791159868240356,366.0959756374359
35,0.7751942024290851,0.16383268409486365,10.26787281036377,377.1356246471405
36,0.7741648053324636,0.1555383612391099,10.236949443817139,388.13064980506897
37,0.7744005686620324,0.16334142942308402,10.042440176010132,399.0039846897125
38,0.7818391913665673,0.16882138177548056,9.619928359985352,409.5206332206726
39,0.7908089614183479,0.154237558667399,9.52863097190857,419.7962589263916
40,0.797746485604668,0.14438200201206253,9.516160011291504,430.0619843006134
41,0.8034944923875579,0.1471221124152083,9.593620538711548,440.3968892097473
42,0.7893507824481208,0.14934656752810535,9.821752786636353,450.9873824119568
43,0.8064825862065117,0.15879924079280233,9.57074761390686,461.2971091270447
44,0.7871334419209747,0.16678404441196648,10.744937896728516,472.8036277294159
45,0.7902961506456871,0.14993874127337747,10.736637592315674,484.3935387134552
46,0.8086947264516907,0.15572661689228456,10.872589588165283,496.25352001190186
47,0.7940563669645112,0.13547761872724498,9.728070974349976,506.73830795288086
48,0.7789089540812565,0.15503972161041343,9.69739294052124,517.202130317688
49,0.7896630530497103,0.16118125153410107,9.86904788017273,527.8173987865448
50,0.7790267013676707,0.16241377882024108,10.91624927520752,539.6328918933868
51,0.8070882157130596,0.15222797541850971,10.704159021377563,551.130747795105
52,0.789107986994099,0.15354574520712916,10.467593908309937,562.4159729480743
53,0.7850454309338607,0.169068704073798,10.466240644454956,573.7888798713684
54,0.7849643325416662,0.1702169970499948,10.887703657150269,585.4457905292511
55,0.7952138008883572,0.15938097573321813,10.102941751480103,596.3535301685333
56,0.7893048967969923,0.13769929776809448,10.072855710983276,607.1954245567322
57,0.8061620086938314,0.1529825049923148,10.48715090751648,618.5494372844696
58,0.7997303126908473,0.1529094761470243,9.670950889587402,628.9902637004852
59,0.7978067872379659,0.1555566337378612,10.128569841384888,639.8783366680145
60,0.7920884919353566,0.14683811395861662,9.667607545852661,650.5085260868073
61,0.7932561421186924,0.15913977224852713,9.771153450012207,661.0594577789307
62,0.7988776434786252,0.15405829278226396,9.58612608909607,671.3962242603302
63,0.7933006257717204,0.14672716142376824,9.668145895004272,681.8402860164642
64,0.7851109953151467,0.1501100273671098,9.56559443473816,692.2015433311462
65,0.7862808491657693,0.15300607617238482,9.576203346252441,702.5381927490234
66,0.7999462286309149,0.1516635128464039,11.406278133392334,714.7802820205688
67,0.7889885498347167,0.13728655200025455,11.081251382827759,726.6681516170502
68,0.8005497552245339,0.14745263888617854,9.969152688980103,737.5624125003815
69,0.8030353837687,0.1501354132571458,9.618149757385254,747.9534959793091
70,0.784332728929217,0.15182987979305293,9.529032707214355,758.2405080795288
71,0.7856954018101074,0.16334346679841372,10.084906816482544,769.082195520401
72,0.7711708294724197,0.16650101825680635,10.446078062057495,780.3569416999817
73,0.8035008257051932,0.15066086508185794,11.051400899887085,792.27028465271
74,0.7846140687864928,0.15688133003037222,11.094188451766968,804.1659107208252
75,0.7943163241413006,0.1570825551163641,10.638981103897095,815.6239647865295
76,0.8091809113979079,0.15359620553599282,10.373830080032349,826.9750010967255
77,0.8044049154952053,0.13429870532022078,10.482665777206421,838.2696828842163
78,0.8100368498600276,0.14766349827187228,10.40957260131836,849.5105962753296
79,0.7882498251542124,0.16106638281870914,10.05680251121521,860.4464249610901
80,0.7970655326781841,0.1450491291534172,10.45344614982605,871.7141447067261
81,0.7998539547600342,0.15717682350931994,10.342110872268677,882.8169572353363
82,0.7876482190456855,0.149205855921866,9.662019968032837,893.2697236537933
83,0.7927087392515461,0.1623722747041478,9.60814118385315,903.6550104618073
84,0.7701831865764451,0.15533848892261215,9.61287784576416,914.0195095539093
85,0.7899276010951627,0.14881258759113206,9.699679613113403,924.484436750412
86,0.7816460651484903,0.15773256641964709,9.67355489730835,934.9255816936493
87,0.8050862583374775,0.16576519307260684,10.19589900970459,945.9027161598206
88,0.792747909734742,0.15041720067720915,10.889679431915283,957.6747169494629
89,0.8035847151890666,0.15835011228002616,11.28812026977539,969.7993450164795
90,0.7883378713507474,0.1767421631762172,9.588233709335327,980.1874749660492
91,0.7853887109941163,0.1475387437276254,9.578956604003906,990.5113096237183
92,0.7850531958444895,0.15468959699110676,9.509816884994507,1000.773054599762
93,0.7980369689274142,0.14440796230502345,10.721352100372314,1012.2692425251007
94,0.7805720657585282,0.14579144296750954,10.313060522079468,1023.356348991394
95,0.8065705364059704,0.143982235198336,9.991881608963013,1034.2270147800446
96,0.8013286664459353,0.14903984790014302,9.44277811050415,1044.4080624580383
97,0.8070981703082195,0.15473394958505063,9.590572357177734,1054.7586929798126
98,0.8077670637936393,0.14702177308211273,9.591388940811157,1065.0857110023499
99,0.789600042428385,0.16024959555386167,10.319552183151245,1076.305457353592
100,0.8033940658091492,0.15603577949149092,10.63157343864441,1087.6966598033905
101,0.8003285364318565,0.16151544438689572,10.401454210281372,1098.8514909744263
102,0.7909219896624345,0.15657279412944672,10.179760694503784,1109.8484854698181
103,0.7911128453327422,0.15698772419497042,10.076881885528564,1120.7464852333069
104,0.7917992199598177,0.16150092421772827,9.533108234405518,1131.0437202453613
105,0.7855798906892915,0.14435434039908424,9.611058950424194,1141.4004881381989
106,0.7877825726504876,0.1437906749591194,9.577441215515137,1151.742122888565
107,0.78769314641279,0.14709752254978417,10.051207780838013,1162.5586926937103
108,0.7967763307430021,0.16065363563721732,9.738346338272095,1173.0858368873596
109,0.7769842416648727,0.15740989846201722,10.041719198226929,1183.889033794403
110,0.8046672515857066,0.16603377047907275,10.551397800445557,1195.3051626682281
111,0.8022112149245803,0.14985158563975892,10.931925773620605,1207.1201531887054
112,0.7868150076635113,0.15750404597719156,10.436022758483887,1218.3833637237549
113,0.7913797987216512,0.1535584024718221,9.607429265975952,1228.7642722129822
114,0.796219234725489,0.16362042753372577,9.683826446533203,1239.2074365615845
115,0.8033644432549605,0.14447392862274475,10.00206184387207,1250.0790424346924
116,0.7897508836492912,0.16709294233168825,10.671655654907227,1261.6032755374908
117,0.7992970677141562,0.15348645072378048,10.784549474716187,1273.1973950862885
118,0.7869477535721755,0.15339708166275604,10.479631185531616,1284.5208594799042
119,0.7835430777201496,0.16325301668894135,9.501391649246216,1294.7843482494354
120,0.8064159233958802,0.15592378499396944,10.109454154968262,1305.6488406658173
121,0.7799760465932781,0.15717932531403433,10.067626237869263,1316.4760694503784
122,0.789132549562944,0.1566202838516325,10.188870429992676,1327.4918339252472
123,0.7930526175913792,0.1476885636388687,10.06446385383606,1338.337286233902
124,0.7715706990267441,0.15563095940250712,10.299146175384521,1349.4160351753235
125,0.7865785888212877,0.17141561871373512,10.027859926223755,1360.2240488529205
126,0.7951922615445771,0.1491711701053069,9.66141152381897,1370.650907754898
127,0.7963224439055168,0.17039294322621168,9.936002492904663,1381.4280979633331
128,0.7884156515011534,0.1635797454517957,9.708627223968506,1391.9056787490845
129,0.7838980708915703,0.15592794489931433,9.654583930969238,1402.3439230918884
130,0.7885777091891172,0.1496997150028155,9.80439567565918,1412.9532928466797
131,0.8038229234043578,0.1611467940680812,10.625459909439087,1424.3525097370148
132,0.7883744546431357,0.16482538759827264,10.645217180252075,1435.8244729042053
133,0.7923753367242249,0.1512022694294427,10.89101243019104,1447.5342292785645
134,0.7860409960013847,0.15633206635678187,27.452726364135742,1475.810542345047
135,0.770110866760425,0.17161492873230608,21.252827405929565,1499.5549697875977
136,0.7985708214886383,0.14801817672206885,19.612046003341675,1520.6004445552826
137,0.7830566082019996,0.1735646354317426,19.420623779296875,1541.3519191741943
138,0.8015464575200141,0.15369925996313158,21.89799427986145,1565.3609006404877
139,0.7948912725820336,0.16224314963599396,21.49873423576355,1588.5862443447113
140,0.7974863901855356,0.15768329077106646,18.658118724822998,1609.0426585674286
141,0.7993655320560852,0.17021861809632888,19.533002614974976,1630.2172546386719
142,0.8042805250840729,0.1631216235224407,21.62662982940674,1653.440754890442
143,0.8001990050534741,0.15145360230534258,23.87319779396057,1679.5105929374695
144,0.7958047856495302,0.15738873803706488,19.586767435073853,1700.6939013004303
145,0.8089259841787593,0.14673731216666347,18.958213806152344,1721.4485890865326
146,0.7835683405475212,0.1505699900114955,18.4946026802063,1741.2283852100372
147,0.7778668599350006,0.15824540071477078,18.723220825195312,1761.3758368492126
148,0.7811523872405631,0.1607462906699668,18.598463535308838,1781.3267750740051
149,0.7905051161595034,0.15747514751821673,17.966987371444702,1800.7564554214478
150,0.7885337260586733,0.1639670691935623,19.932029962539673,1822.1420826911926
151,0.7922775711717299,0.15172988284712802,19.96534013748169,1843.7862975597382
152,0.7763974733849848,0.17839629853357514,17.860603094100952,1863.0619847774506
153,0.7743061691047809,0.16229815468602668,18.490779161453247,1883.079899072647
154,0.7888158872362815,0.15045273319046232,18.09861183166504,1902.7987744808197
155,0.7967860413573912,0.1702641567128656,18.54149293899536,1922.5578603744507
156,0.7921039664126709,0.15964449574838613,16.555580139160156,1940.4006743431091
157,0.7894634671272805,0.15062707989194957,17.23236656188965,1959.1143202781677
158,0.7865251672577652,0.16751536828423902,17.0794997215271,1977.6549417972565
159,0.8101964390568305,0.14434469891751855,16.755382776260376,1995.8150174617767
160,0.8068868352548305,0.15995976497601563,16.841924905776978,2013.9639642238617
161,0.8048629411593975,0.16037161392710506,17.568631172180176,2032.8936343193054
162,0.8023804240016367,0.1460729005602475,16.48083782196045,2051.1626267433167
163,0.7900110286061889,0.1615366231204925,18.85088539123535,2071.4945635795593
164,0.788198059589783,0.15515629686809415,18.97768807411194,2091.9824154376984
165,0.7999841153024164,0.15283290267001906,18.463616132736206,2111.874491453171
166,0.7953204846217479,0.16815905756102506,17.048235416412354,2130.2987399101257
167,0.8056316334700605,0.15835638953003808,17.65600275993347,2149.3014850616455
168,0.8058298015333786,0.1542876621549787,12.244637966156006,2163.0355479717255
169,0.7976588572920691,0.1545088609680821,12.51099181175232,2176.4678678512573
170,0.8076489353165259,0.160819999400562,12.429775476455688,2189.765293121338
171,0.815524957975219,0.1532559295598412,12.062146425247192,2202.678790807724
172,0.8003385158082604,0.15303654487133633,11.664501905441284,2215.2492587566376
173,0.8008614504623893,0.15025903198002608,15.65083360671997,2231.8605189323425
174,0.7816126148586032,0.15641347414241977,19.672569751739502,2252.9196724891663
175,0.7793773989597597,0.1622140244457722,19.1311194896698,2273.708453655243
176,0.7956241701306032,0.1670724867128257,17.847987174987793,2292.9485609531403
177,0.7941448813774957,0.14705457590834317,21.80840826034546,2316.2646498680115
178,0.7947981919194501,0.15393693784580825,19.060822010040283,2336.6428711414337
179,0.7849921418256223,0.1593923446270222,17.599124908447266,2355.9354333877563
180,0.7900618158926286,0.1534773085756377,18.054279804229736,2375.382611989975
181,0.7845748598966211,0.15859612700506928,17.614588260650635,2394.468994617462
182,0.7879154955407716,0.1652078561919666,16.22721242904663,2412.024299144745
183,0.7998632167573674,0.15614778541849417,14.598912000656128,2427.5624072551727
184,0.78380277636842,0.1587927834765046,20.818103075027466,2450.581524848938
185,0.8027805208457015,0.1544154231205702,12.864817142486572,2464.968916416168
186,0.8096545141374167,0.1544346052431458,12.343913793563843,2478.184126853943
187,0.7983177732875816,0.1653197479071911,16.816570043563843,2496.1031329631805
188,0.7927997968748767,0.1531871151684649,17.833240032196045,2515.6033091545105
189,0.7895397042129368,0.15468608908067163,19.470978021621704,2536.6520612239838
190,0.7909731685378859,0.15254300010622754,21.30971670150757,2559.98184132576
191,0.7946141417648794,0.15905055587383687,18.37819790840149,2579.849484205246
192,0.7887879544090333,0.1647330524072272,16.818724155426025,2597.9740319252014
193,0.785946730116097,0.16864659819886918,13.363113641738892,2612.2838599681854
194,0.7970216865279136,0.15344751020757313,15.837831974029541,2629.0537486076355
195,0.7954257002637218,0.1623738342574442,20.555185079574585,2651.540730714798
196,0.7956467249862101,0.1591426636903122,20.966745376586914,2673.7781887054443
197,0.7917093187316867,0.15405842167301995,20.202078580856323,2695.645891904831
198,0.7791108765317071,0.15910013773360407,22.3206684589386,2719.762181997299
199,0.8014268846864693,0.15768447436752364,18.62558937072754,2739.7558710575104
200,0.7781462427223969,0.15922837245794808,18.2237868309021,2759.3631970882416
