round,mean_acc,std_acc,round_time,total_time
1,0.5168216093703447,0.22019652739806878,10.311316728591919,10.311316728591919
1,0.5168216093703447,0.22019652739806878,10.233747959136963,10.233747959136963
2,0.5166490107763334,0.19001429433061082,9.523337125778198,20.557592153549194
3,0.5997445023184491,0.1836892961956757,9.860163450241089,31.14318323135376
4,0.6078170146770016,0.21269455639927354,9.994312763214111,41.87516498565674
5,0.670174275809354,0.16448463357308155,9.730307340621948,52.47103691101074
6,0.6421216018960069,0.2197274701177563,9.785679578781128,62.973634243011475
7,0.6921181892222456,0.16805212654122192,9.464993476867676,73.21254134178162
8,0.6841447476303752,0.22311318845880634,9.336975336074829,83.28032755851746
9,0.6771553357593646,0.22649332631088523,10.02541732788086,94.13879203796387
10,0.6428655609116743,0.23177430680857763,10.068727493286133,104.99986839294434
11,0.6929611018219256,0.2062316505504517,9.716675043106079,115.45504784584045
12,0.6459758902586953,0.23753226983696826,10.1010262966156,126.32249188423157
13,0.7017001794683936,0.2159652716447009,9.825859546661377,136.8997242450714
14,0.6698958228964536,0.25107390186561956,9.456682205200195,147.10239815711975
15,0.7183861465044288,0.19048556374306788,9.448358058929443,157.2797863483429
16,0.676937298344663,0.24984830840602484,9.546472549438477,167.58862590789795
17,0.7622681015433841,0.1595109361799116,9.718247175216675,178.04325914382935
18,0.7310447160360131,0.20823143507565803,9.814212560653687,188.62068223953247
19,0.7729307571432514,0.14746087050993067,9.735085725784302,199.13559937477112
20,0.7239652257861491,0.19649594539478124,10.648828506469727,210.5444152355194
21,0.7668092090647175,0.1456588313385693,10.722963571548462,222.0823335647583
22,0.7587845570289827,0.15072182971936335,10.355767488479614,233.22955918312073
23,0.7730402869987819,0.14921418563371672,9.518986701965332,243.5348184108734
24,0.7531680916217489,0.1692629980280464,9.457507371902466,253.75019478797913
25,0.7766862587175192,0.16154217143007127,9.85827922821045,264.36341738700867
26,0.7638070269401499,0.1605200877642781,10.289127349853516,275.42767810821533
27,0.7633312668815789,0.16134379775660343,10.486993551254272,286.76578855514526
28,0.7792952832094567,0.14877041559128287,9.779399871826172,297.41140389442444
29,0.7835670462234611,0.15200224951901214,9.679598808288574,307.8304331302643
30,0.7599748052510017,0.1626649672623303,9.518189668655396,318.103435754776
31,0.7735541098046393,0.15986743953757315,10.045982837677002,328.9137418270111
32,0.7606271352685088,0.15954206326332704,9.916504859924316,339.79717683792114
33,0.767900054275427,0.1515209390368413,10.059717655181885,350.63808703422546
34,0.7657156888080903,0.1724821402805486,9.559801816940308,361.0904679298401
35,0.7751942024290851,0.16383268409486365,9.527896404266357,371.38541316986084
