,test_acc
MUTAG,0.9473684210526315
BZR,0.7804878048780488
COX2,0.7659574468085106
DHFR,0.7105263157894737
PTC_MR,0.6285714285714286
AIDS,0.98
NCI1,0.7834549878345499
IMDB-MULTI,0.43333333333333335
IMDB-BINARY,0.71
Letter-high,0.8883928571428571
Letter-med,0.9644444444444444
Letter-low,0.9955555555555555
